Datum/tijd (MET);Astronomisch;Gemeten waterstand;Verwachte opzet;Verwachting RWS
2018-01-14 20:50;-46;-72;-30;-76
2018-01-14 21:00;-46;-72;-31;-77
2018-01-14 21:10;-45;-72;-33;-78
2018-01-14 21:20;-45;-72;-34;-79
2018-01-14 21:30;-45;-73;-34;-79
2018-01-14 21:40;-45;-73;-35;-80
2018-01-14 21:50;-44;-74;-35;-79
2018-01-14 22:00;-43;-73;-36;-79
2018-01-14 22:10;-42;-72;-35;-77
2018-01-14 22:20;-40;-71;-35;-75
2018-01-14 22:30;-37;-69;-35;-72
2018-01-14 22:40;-34;-63;-34;-68
2018-01-14 22:50;-30;-60;-34;-64
2018-01-14 23:00;-25;-55;-33;-58
2018-01-14 23:10;-19;-48;-34;-53
2018-01-14 23:20;-12;-40;-33;-45
2018-01-14 23:30;-4;-33;-33;-37
2018-01-14 23:40;5;-24;-33;-28
2018-01-14 23:50;14;-15;-32;-18
2018-01-15 00:00;25;-7;-28;-3
2018-01-15 00:10;36;6;-25;11
2018-01-15 00:20;47;19;-21;26
2018-01-15 00:30;58;32;-18;40
2018-01-15 00:40;69;44;-17;52
2018-01-15 00:50;80;56;-18;62
2018-01-15 01:00;89;66;-19;70
2018-01-15 01:10;96;74;-20;76
2018-01-15 01:20;102;79;-22;80
2018-01-15 01:30;107;81;-26;81
2018-01-15 01:40;109;82;-28;81
2018-01-15 01:50;110;82;-32;78
2018-01-15 02:00;110;78;-35;75
2018-01-15 02:10;110;75;-37;73
2018-01-15 02:20;108;71;-37;71
2018-01-15 02:30;106;66;-39;67
2018-01-15 02:40;104;62;-38;66
2018-01-15 02:50;101;58;-36;65
2018-01-15 03:00;98;54;-36;62
2018-01-15 03:10;95;48;-37;58
2018-01-15 03:20;91;44;-38;53
2018-01-15 03:30;86;39;-38;48
2018-01-15 03:40;80;34;-38;42
2018-01-15 03:50;74;29;-38;36
2018-01-15 04:00;67;23;-37;30
2018-01-15 04:10;59;16;-36;23
2018-01-15 04:20;51;9;-35;16
2018-01-15 04:30;43;2;-34;9
2018-01-15 04:40;35;-6;-34;1
2018-01-15 04:50;27;-14;-34;-7
2018-01-15 05:00;19;-22;-34;-15
2018-01-15 05:10;11;-28;-33;-22
2018-01-15 05:20;3;-37;-35;-32
2018-01-15 05:30;-5;-43;-37;-42
2018-01-15 05:40;-12;-50;-39;-51
2018-01-15 05:50;-20;-57;-39;-59
2018-01-15 06:00;-27;-63;-36;-63
2018-01-15 06:10;-33;-70;-34;-67
2018-01-15 06:20;-39;-75;-33;-72
2018-01-15 06:30;-44;-80;-31;-75
2018-01-15 06:40;-48;-84;-31;-79
2018-01-15 06:50;-51;-86;-30;-81
2018-01-15 07:00;-53;-87;-31;-84
2018-01-15 07:10;-54;-85;-31;-85
2018-01-15 07:20;-54;-86;-32;-86
2018-01-15 07:30;-54;-86;-33;-87
2018-01-15 07:40;-53;-85;-34;-87
2018-01-15 07:50;-52;-88;-34;-86
2018-01-15 08:00;-51;-90;-37;-88
2018-01-15 08:10;-50;-93;-38;-88
2018-01-15 08:20;-49;-94;-38;-87
2018-01-15 08:30;-49;-96;-39;-88
2018-01-15 08:40;-48;-97;-40;-88
2018-01-15 08:50;-48;-99;-41;-89
2018-01-15 09:00;-49;-100;-41;-90
2018-01-15 09:10;-50;-100;-42;-92
2018-01-15 09:20;-51;-101;-43;-94
2018-01-15 09:30;-52;-102;-45;-97
2018-01-15 09:40;-53;-103;-46;-99
2018-01-15 09:50;-54;-104;-47;-101
2018-01-15 10:00;-54;-105;-47;-101
2018-01-15 10:10;-54;-104;-47;-101
2018-01-15 10:20;-53;-106;-48;-101
2018-01-15 10:30;-51;-105;-51;-102
2018-01-15 10:40;-49;-103;-51;-100
2018-01-15 10:50;-46;-100;-49;-95
2018-01-15 11:00;-42;-96;-46;-88
2018-01-15 11:10;-37;-89;-43;-80
2018-01-15 11:20;-31;-81;-40;-71
2018-01-15 11:30;-24;-71;-37;-61
2018-01-15 11:40;-17;-56;-32;-49
2018-01-15 11:50;-8;-42;-24;-32
2018-01-15 12:00;2;-26;-27;-25
2018-01-15 12:10;13;-10;-21;-8
2018-01-15 12:20;25;8;-16;9
2018-01-15 12:30;37;26;-9;28
2018-01-15 12:40;50;43;-7;43
2018-01-15 12:50;63;56;-7;56
2018-01-15 13:00;75;69;-8;67
2018-01-15 13:10;86;79;-10;76
2018-01-15 13:20;95;88;-13;82
2018-01-15 13:30;103;92;-16;87
2018-01-15 13:40;108;94;-19;89
2018-01-15 13:50;112;95;-23;89
2018-01-15 14:00;114;93;-27;87
2018-01-15 14:10;114;91;-30;84
2018-01-15 14:20;114;88;-33;81
2018-01-15 14:30;112;85;-32;80
2018-01-15 14:40;110;82;-32;78
2018-01-15 14:50;108;78;-33;75
2018-01-15 15:00;106;76;-35;71
2018-01-15 15:10;103;76;-35;68
2018-01-15 15:20;100;72;-34;66
2018-01-15 15:30;97;69;-34;63
2018-01-15 15:40;93;66;-30;63
2018-01-15 15:50;88;63;-29;59
2018-01-15 16:00;83;59;-27;56
2018-01-15 16:10;76;53;-24;52
2018-01-15 16:20;69;47;-19;50
2018-01-15 16:30;62;45;-17;45
2018-01-15 16:40;54;41;-13;41
2018-01-15 16:50;47;37;-9;38
2018-01-15 17:00;39;35;-4;35
2018-01-15 17:10;32;32;0;32
2018-01-15 17:20;24;30;5;29
2018-01-15 17:30;17;29;11;28
2018-01-15 17:40;10;27;16;26
2018-01-15 17:50;2;25;22;24
2018-01-15 18:00;-5;26;30;25
2018-01-15 18:10;-12;28;35;23
2018-01-15 18:20;-18;28;43;25
2018-01-15 18:30;-24;30;52;28
2018-01-15 18:40;-30;31;60;30
2018-01-15 18:50;-34;32;66;32
2018-01-15 19:00;-38;34;72;34
2018-01-15 19:10;-41;33;74;33
2018-01-15 19:20;-43;32;73;30
2018-01-15 19:30;-44;35;71;27
2018-01-15 19:40;-45;38;69;24
2018-01-15 19:50;-46;35;68;22
2018-01-15 20:00;-46;32;63;17
2018-01-15 20:10;-46;28;58;12
2018-01-15 20:20;-45;25;53;8
2018-01-15 20:30;-45;21;52;7
2018-01-15 20:40;-45;15;50;5
2018-01-15 20:50;-44;10;47;3
2018-01-15 21:00;-44;10;47;3
2018-01-15 21:10;-43;10;46;3
2018-01-15 21:20;-43;9;47;4
2018-01-15 21:30;-42;10;48;6
2018-01-15 21:40;-42;10;50;8
2018-01-15 21:50;-42;11;51;9
2018-01-15 22:00;-42;10;53;11
2018-01-15 22:10;-42;11;56;14
2018-01-15 22:20;-42;11;58;16
2018-01-15 22:30;-42;13;62;20
2018-01-15 22:40;-41;17;64;23
2018-01-15 22:50;-40;21;68;28
2018-01-15 23:00;-38;28;72;34
2018-01-15 23:10;-36;36;76;40
2018-01-15 23:20;-33;43;80;47
2018-01-15 23:30;-29;51;84;55
2018-01-15 23:40;-25;59;87;62
2018-01-15 23:50;-19;66;89;70
2018-01-16 00:00;-13;74;96;83
2018-01-16 00:10;-6;84;99;93
2018-01-16 00:20;2;93;102;104
2018-01-16 00:30;12;103;105;117
2018-01-16 00:40;23;117;107;130
2018-01-16 00:50;34;129;109;143
2018-01-16 01:00;46;143;108;154
2018-01-16 01:10;58;156;106;164
2018-01-16 01:20;70;167;102;172
2018-01-16 01:30;81;177;98;179
2018-01-16 01:40;90;183;93;183
2018-01-16 01:50;98;186;87;185
2018-01-16 02:00;105;187;80;185
2018-01-16 02:10;109;187;76;185
2018-01-16 02:20;112;184;71;183
2018-01-16 02:30;113;179;68;181
2018-01-16 02:40;113;176;66;179
2018-01-16 02:50;112;173;65;177
2018-01-16 03:00;110;170;64;174
2018-01-16 03:10;109;168;63;172
2018-01-16 03:20;106;165;64;170
2018-01-16 03:30;104;162;64;168
2018-01-16 03:40;101;158;63;164
2018-01-16 03:50;97;154;64;161
2018-01-16 04:00;93;148;64;157
2018-01-16 04:10;88;142;65;153
2018-01-16 04:20;82;137;67;149
2018-01-16 04:30;75;130;69;144
2018-01-16 04:40;67;123;72;139
2018-01-16 04:50;59;116;73;132
2018-01-16 05:00;51;;74;125
2018-01-16 05:10;43;100;75;118
2018-01-16 05:20;34;93;76;110
2018-01-16 05:30;25;84;62;87
2018-01-16 05:40;17;76;64;81
2018-01-16 05:50;8;69;65;73
2018-01-16 06:00;-1;60;67;66
2018-01-16 06:10;-9;54;67;58
2018-01-16 06:20;-18;49;69;51
2018-01-16 06:30;-26;43;72;46
2018-01-16 06:40;-33;39;73;40
2018-01-16 06:50;-39;33;75;36
2018-01-16 07:00;-45;30;77;32
2018-01-16 07:10;-50;27;79;29
2018-01-16 07:20;-53;25;79;26
2018-01-16 07:30;-56;22;81;25
2018-01-16 07:40;-57;19;81;24
2018-01-16 07:50;-58;23;82;24
2018-01-16 08:00;-58;26;83;25
2018-01-16 08:10;-58;28;84;26
2018-01-16 08:20;-57;27;84;27
2018-01-16 08:30;-56;;83;27
2018-01-16 08:40;-55;24;81;26
2018-01-16 08:50;-54;27;79;25
2018-01-16 09:00;-53;32;76;23
2018-01-16 09:10;-53;29;74;21
2018-01-16 09:20;-52;29;72;20
2018-01-16 09:30;-52;28;71;19
2018-01-16 09:40;-52;21;71;19
2018-01-16 09:50;-52;21;70;18
2018-01-16 10:00;-53;14;70;17
2018-01-16 10:10;-54;10;71;17
2018-01-16 10:20;-55;13;73;18
2018-01-16 10:30;-56;17;75;19
2018-01-16 10:40;-56;18;76;20
2018-01-16 10:50;-56;21;78;22
2018-01-16 11:00;-55;25;80;25
2018-01-16 11:10;-53;30;82;29
2018-01-16 11:20;-50;36;83;33
2018-01-16 11:30;-47;40;85;38
2018-01-16 11:40;-43;43;86;43
2018-01-16 11:50;-38;49;88;50
2018-01-16 12:00;-33;56;87;54
2018-01-16 12:10;-26;61;89;63
2018-01-16 12:20;-18;71;89;71
2018-01-16 12:30;-9;82;90;81
2018-01-16 12:40;1;95;91;92
2018-01-16 12:50;13;108;92;105
2018-01-16 13:00;26;122;94;120
2018-01-16 13:10;40;137;96;136
2018-01-16 13:20;54;152;98;152
2018-01-16 13:30;68;167;98;166
2018-01-16 13:40;81;179;96;177
2018-01-16 13:50;92;191;96;188
2018-01-16 14:00;102;200;94;196
2018-01-16 14:10;110;205;91;201
2018-01-16 14:20;116;205;87;203
